"","response_id","respondent_gender","gender_string","win","gender_male","gender_female","age_29","age_45","age_65","num_child_0","num_child_1","num_child_3","occ_teacher","occ_lawyer","occ_politician","occ_homemaker","years_in_pol_0","years_in_pol_1","years_in_pol_3","years_in_pol_8","spouse_occ_politician","spouse_occ_doctor","spouse_occ_farmer","spouse_occ_unmarried","caste_forward","caste_backward"
"36","5f3bd9a6-959b-87b1-6011-5f4670b8ab9d","Female","Male",0,"1","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","1","0"
"37","5f3bd9b0-74e4-d09d-1486-f02d5c046622","Male","Male",1,"1","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1"
"38","5f3bd9b0-74e4-d09d-1486-f02d5c046622","Male","Female",0,"0","1","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","0","1"
"39","5f3bd9d1-b015-0199-89fb-31d9483d0c03","Male","Male",1,"1","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","1"
"40","5f3bd9d1-b015-0199-89fb-31d9483d0c03","Male","Female",0,"0","1","1","0","0","1","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1"
"41","5f3bd9d8-45e4-7cbe-ea8c-e6746c83e002","Male","Female",1,"0","1","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1"
"42","5f3bd9d8-45e4-7cbe-ea8c-e6746c83e002","Male","Male",0,"1","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1"
"43","5f3bd9ea-b900-f5b4-ce70-2c23bd846a17","Male","Male",1,"1","0","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","1","0"
"44","5f3bd9ea-b900-f5b4-ce70-2c23bd846a17","Male","Female",0,"0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","1"
"45","5f3bda09-c6ac-7fea-e8a5-256eb7e32e5f","Male","Female",1,"0","1","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1"
"46","5f3bda09-c6ac-7fea-e8a5-256eb7e32e5f","Male","Male",0,"1","0","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0"
"47","5f3bdb14-c1a0-d328-5fa5-fb25ec465ff7","Female","Female",1,"0","1","0","1","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1"
"48","5f3bdb14-c1a0-d328-5fa5-fb25ec465ff7","Female","Male",0,"1","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","1","0"
"49","5f3bdb70-754d-6611-d220-3f422d9a86b2","Female","Female",1,"0","1","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1"
"50","5f3bdb70-754d-6611-d220-3f422d9a86b2","Female","Male",0,"1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","1","1","0","0","0","1","0"
