"","response_id","respondent_gender","gender_string","win","gender_male","gender_female","age_29","age_45","age_65","num_child_0","num_child_1","num_child_3","occ_teacher","occ_lawyer","occ_politician","occ_homemaker","years_in_pol_0","years_in_pol_1","years_in_pol_3","years_in_pol_8","spouse_occ_politician","spouse_occ_doctor","spouse_occ_farmer","spouse_occ_unmarried","caste_forward","caste_backward"
"36","5f3bd91d-c106-0d29-7985-dc64027aa665","Female","Male",0,"1","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","0","1","0","1"
"37","5f3bd922-a654-1efe-c598-3bb82d08a01d","Male","Male",1,"1","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","1"
"38","5f3bd922-a654-1efe-c598-3bb82d08a01d","Male","Female",1,"0","1","1","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1"
"39","5f3bd922-a654-1efe-c598-3bb82d08a01d","Male","Male",1,"1","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0"
"40","5f3bd922-a654-1efe-c598-3bb82d08a01d","Male","Female",0,"0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","1","0"
"41","5f3bd922-a654-1efe-c598-3bb82d08a01d","Male","Female",0,"0","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","1"
"42","5f3bd922-a654-1efe-c598-3bb82d08a01d","Male","Male",0,"1","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0"
"43","5f3bd93d-0f71-479b-e58c-2986a2c4dc1e","Male","Male",1,"1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","1"
"44","5f3bd93d-0f71-479b-e58c-2986a2c4dc1e","Male","Female",1,"0","1","0","1","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0"
"45","5f3bd93d-0f71-479b-e58c-2986a2c4dc1e","Male","Male",1,"1","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0"
"46","5f3bd93d-0f71-479b-e58c-2986a2c4dc1e","Male","Male",0,"1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1"
"47","5f3bd93d-0f71-479b-e58c-2986a2c4dc1e","Male","Female",0,"0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1"
"48","5f3bd93d-0f71-479b-e58c-2986a2c4dc1e","Male","Female",0,"0","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","1","1","0"
"49","5f3bd941-fe83-b6a8-d4d4-da53ee634787","Male","Male",1,"1","0","0","1","0","0","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0"
"50","5f3bd941-fe83-b6a8-d4d4-da53ee634787","Male","Male",1,"1","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0"
"51","5f3bd941-fe83-b6a8-d4d4-da53ee634787","Male","Female",1,"0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0","0","1"
"52","5f3bd941-fe83-b6a8-d4d4-da53ee634787","Male","Male",0,"1","0","0","1","0","0","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1"
"53","5f3bd941-fe83-b6a8-d4d4-da53ee634787","Male","Female",0,"0","1","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0"
"54","5f3bd941-fe83-b6a8-d4d4-da53ee634787","Male","Female",0,"0","1","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","0","1"
"55","5f3bd955-ab26-48eb-5ac3-08791ee173ad","Male","Male",1,"1","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","1","0"
"56","5f3bd955-ab26-48eb-5ac3-08791ee173ad","Male","Female",1,"0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","1"
"57","5f3bd955-ab26-48eb-5ac3-08791ee173ad","Male","Female",1,"0","1","0","1","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0"
"58","5f3bd955-ab26-48eb-5ac3-08791ee173ad","Male","Male",0,"1","0","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","1","0"
"59","5f3bd955-ab26-48eb-5ac3-08791ee173ad","Male","Male",0,"1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","1","0","0","0","1"
"60","5f3bd955-ab26-48eb-5ac3-08791ee173ad","Male","Female",0,"0","1","1","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","1"
"61","5f3bd959-2a4a-9505-204b-8b4e2e756cf3","Male","Female",1,"0","1","0","0","1","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1"
"62","5f3bd959-2a4a-9505-204b-8b4e2e756cf3","Male","Male",1,"1","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","1","0"
"63","5f3bd959-2a4a-9505-204b-8b4e2e756cf3","Male","Female",1,"0","1","1","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","1","0"
"64","5f3bd959-2a4a-9505-204b-8b4e2e756cf3","Male","Female",0,"0","1","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0"
"65","5f3bd959-2a4a-9505-204b-8b4e2e756cf3","Male","Male",0,"1","0","0","1","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","1","0"
"66","5f3bd959-2a4a-9505-204b-8b4e2e756cf3","Male","Male",0,"1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1","0","0","1"
"67","5f3bd969-0210-90e8-e45b-7548f22afd01","Female","Male",1,"1","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","1","0"
"68","5f3bd969-0210-90e8-e45b-7548f22afd01","Female","Female",1,"0","1","1","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0"
"69","5f3bd969-0210-90e8-e45b-7548f22afd01","Female","Female",1,"0","1","0","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1"
"70","5f3bd969-0210-90e8-e45b-7548f22afd01","Female","Male",0,"1","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","1","1","0"
"71","5f3bd969-0210-90e8-e45b-7548f22afd01","Female","Male",0,"1","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","1"
"72","5f3bd969-0210-90e8-e45b-7548f22afd01","Female","Female",0,"0","1","0","1","0","0","1","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1"
"73","5f3bd975-0af2-9955-6b83-5ab0cf1c9e94","Female","Female",1,"0","1","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","0","1"
"74","5f3bd975-0af2-9955-6b83-5ab0cf1c9e94","Female","Female",1,"0","1","1","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","1"
"75","5f3bd975-0af2-9955-6b83-5ab0cf1c9e94","Female","Male",1,"1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","1","0"
"76","5f3bd975-0af2-9955-6b83-5ab0cf1c9e94","Female","Female",0,"0","1","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0"
"77","5f3bd975-0af2-9955-6b83-5ab0cf1c9e94","Female","Male",0,"1","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0"
"78","5f3bd975-0af2-9955-6b83-5ab0cf1c9e94","Female","Male",0,"1","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1"
"79","5f3bd983-f43f-93e9-043b-39e079e3d3c6","Male","Female",1,"0","1","1","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0"
"80","5f3bd983-f43f-93e9-043b-39e079e3d3c6","Male","Male",1,"1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","1","0"
"81","5f3bd983-f43f-93e9-043b-39e079e3d3c6","Male","Female",1,"0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","0","1"
"82","5f3bd983-f43f-93e9-043b-39e079e3d3c6","Male","Male",0,"1","0","0","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1"
"83","5f3bd983-f43f-93e9-043b-39e079e3d3c6","Male","Male",0,"1","0","0","0","1","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","1"
"84","5f3bd983-f43f-93e9-043b-39e079e3d3c6","Male","Female",0,"0","1","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1","0","0","1","0"
"85","5f3bd999-2765-b4b0-0bff-c8f9216fe990","Female","Male",1,"1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0"
"86","5f3bd999-2765-b4b0-0bff-c8f9216fe990","Female","Female",1,"0","1","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1"
"87","5f3bd999-2765-b4b0-0bff-c8f9216fe990","Female","Female",1,"0","1","0","1","0","0","0","1","0","0","1","0","0","0","0","1","1","0","0","0","0","1"
"88","5f3bd999-2765-b4b0-0bff-c8f9216fe990","Female","Male",0,"1","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","1"
"89","5f3bd999-2765-b4b0-0bff-c8f9216fe990","Female","Male",0,"1","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0"
"90","5f3bd999-2765-b4b0-0bff-c8f9216fe990","Female","Female",0,"0","1","0","0","1","0","1","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0"
"91","5f3bd99e-fc2f-e945-1c72-63b70f18e611","Male","Male",1,"1","0","1","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0"
"92","5f3bd99e-fc2f-e945-1c72-63b70f18e611","Male","Female",1,"0","1","0","0","1","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","1","0"
"93","5f3bd99e-fc2f-e945-1c72-63b70f18e611","Male","Male",1,"1","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","1"
